Payment_id,date,amount,CreditCard_number,Invoice_number
PAY_1,3/1/2021 4:30,39,4.91159E+18,IN82536826
PAY_2,3/1/2021 2:21,104,5.00236E+15,IN04857840
PAY_3,3/1/2021 15:34,22,5.10015E+15,IN17065187
PAY_4,3/1/2021 19:05,52,3.5847E+15,IN19749379
PAY_5,3/1/2021 3:24,12,3.56386E+15,IN33624116
PAY_6,3/1/2021 5:10,30,6.70927E+16,IN75571112
PAY_7,3/1/2021 1:16,32,5.10876E+15,IN59170420
PAY_8,3/1/2021 3:42,54,6.77115E+18,IN85406486
PAY_9,3/1/2021 8:22,72,3.58492E+15,IN04862587
PAY_10,3/1/2021 15:28,88,3.05312E+13,IN28465803
PAY_11,3/1/2021 3:25,52,4.91764E+15,IN72250932
PAY_12,3/1/2021 16:49,30,3.57652E+15,IN91294634
PAY_13,3/1/2021 12:33,18,3.56404E+15,IN72291634
PAY_14,3/1/2021 10:17,40,6.76344E+16,IN14862964
PAY_15,3/1/2021 21:30,18,3.57652E+15,IN42452707
PAY_16,3/1/2021 8:21,80,3.53997E+15,IN94118740
PAY_17,3/1/2021 8:30,50,6.76193E+17,IN30842285
PAY_18,3/1/2021 13:45,120,5.00236E+15,IN75239066
PAY_19,3/1/2021 16:09,40,3.54634E+15,IN17208572
PAY_20,3/1/2021 19:23,96,5.02091E+17,IN91614074
PAY_21,3/1/2021 7:08,70,3.5462E+15,IN91901954
PAY_22,3/1/2021 19:21,22,5.04838E+15,IN59220578
PAY_23,3/1/2021 3:21,16,2.01888E+14,IN34828934
PAY_24,3/1/2021 7:37,24,3.5871E+15,IN25859781
PAY_25,3/1/2021 23:58,5,5.60224E+15,IN79356843
PAY_26,3/1/2021 2:14,60,5.60223E+15,IN83633412
PAY_27,3/1/2021 22:51,64,4.91708E+15,IN94547935
PAY_28,3/1/2021 21:01,48,3.53335E+15,IN35740167
PAY_29,3/1/2021 11:11,54,3.57264E+15,IN49866057
PAY_30,3/1/2021 8:36,96,6.76791E+18,IN49405951
PAY_31,3/1/2021 3:10,50,5.64182E+15,IN43130899
PAY_32,3/1/2021 18:48,8,3.56049E+15,IN98101299
PAY_33,3/1/2021 20:35,110,3.57264E+15,IN50093934
PAY_34,3/1/2021 2:42,48,6.37005E+15,IN16137521
PAY_35,3/1/2021 6:19,14,3.57264E+15,IN99152144
PAY_36,3/1/2021 13:11,11,3.37942E+14,IN34849064
PAY_37,3/1/2021 13:30,65,5.60224E+15,IN95669938
PAY_38,3/1/2021 17:35,20,3.58299E+15,IN49258654
PAY_39,3/1/2021 4:20,42,5.10876E+15,IN47819867
PAY_40,3/1/2021 11:39,45,3.57264E+15,IN18374121
PAY_41,3/1/2021 14:02,72,3.54657E+15,IN16360652
PAY_42,3/1/2021 20:04,27,2.01611E+14,IN38977579
PAY_43,3/1/2021 19:33,10,3.01348E+13,IN20175909
PAY_44,3/1/2021 23:23,56,3.57264E+15,IN29194411
PAY_45,3/1/2021 23:30,77,3.74622E+14,IN23173152
PAY_46,3/1/2021 3:05,56,3.5847E+15,IN81844973
PAY_47,3/1/2021 17:35,48,3.02476E+13,IN55887663
PAY_48,3/1/2021 6:02,72,3.54153E+15,IN83160336
PAY_49,3/1/2021 6:41,12,3.54616E+15,IN42407053
PAY_50,3/1/2021 1:47,88,4.50826E+15,IN63491976
PAY_51,3/1/2021 11:10,35,6.76371E+15,IN43675521
PAY_52,3/1/2021 16:53,96,3.54153E+15,IN32227753
PAY_53,3/1/2021 20:21,64,3.52893E+15,IN04743107
PAY_54,3/1/2021 9:04,6,3.70728E+14,IN07158462
PAY_55,3/1/2021 2:53,54,3.55188E+15,IN93521149
PAY_56,3/1/2021 0:16,105,3.54153E+15,IN23249446
PAY_57,3/1/2021 18:23,36,3.57264E+15,IN67155074
PAY_58,3/1/2021 10:40,49,3.55591E+15,IN43272779
PAY_59,3/1/2021 18:25,40,3.05172E+13,IN90625797
PAY_60,3/1/2021 13:40,72,3.53022E+15,IN97254940
PAY_61,3/1/2021 11:03,12,3.02124E+13,IN32171958
PAY_62,3/1/2021 1:00,77,3.58964E+15,IN15113268
PAY_63,3/1/2021 12:32,140,3.02124E+13,IN77564727
PAY_64,3/1/2021 14:56,13,3.54153E+15,IN07796776
PAY_65,3/1/2021 4:29,8,3.74623E+14,IN65101244
PAY_66,3/1/2021 4:52,20,3.5391E+15,IN12372578
PAY_67,3/1/2021 21:06,80,3.5418E+15,IN50181905
PAY_68,3/1/2021 12:34,26,3.58279E+15,IN99678448
PAY_69,3/1/2021 17:00,28,6.04226E+15,IN76910875
PAY_70,3/1/2021 12:17,90,5.60222E+15,IN42079537
PAY_71,3/1/2021 6:05,99,3.58279E+15,IN47284709
PAY_72,3/1/2021 8:10,65,5.23702E+15,IN87614984
PAY_73,3/1/2021 13:57,98,3.56825E+15,IN40855862
PAY_74,3/1/2021 7:01,30,3.58279E+15,IN53140017
PAY_75,3/1/2021 17:30,48,6.30404E+15,IN82994869
PAY_76,3/1/2021 16:06,88,3.5281E+15,IN18379037
PAY_77,3/1/2021 1:19,20,4.175E+15,IN26445774
PAY_78,3/1/2021 14:35,84,5.53037E+15,IN99032886
PAY_79,3/1/2021 20:11,39,5.53423E+15,IN72235009
PAY_80,3/1/2021 17:22,13,5.13076E+15,IN18252229
PAY_81,3/1/2021 6:05,70,5.13076E+15,IN82321590
PAY_82,3/1/2021 10:07,54,3.53811E+15,IN58900895
PAY_83,3/1/2021 10:10,81,5.13076E+15,IN80329210
PAY_84,3/1/2021 21:43,20,3.02331E+13,IN50655158
